Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1488555,2011-05-16,2011-05-16,,The Change-Up,https://www.imdb.com/title/tt1488555/,movie,6.3,112,2011,"Comedy, Fantasy",171117,2011-08-01,David Dobkin,9,2017-04-27
2,tt1622547,2011-05-16,2011-05-16,,30 Minutes or Less,https://www.imdb.com/title/tt1622547/,movie,6.1,83,2011,"Action, Comedy, Crime",96063,2011-08-11,Ruben Fleischer,8,2017-04-27
3,tt0409847,2011-05-16,2011-05-16,,Cowboys & Aliens,https://www.imdb.com/title/tt0409847/,movie,6.0,119,2011,"Action, Sci-Fi, Thriller, Western",210778,2011-07-29,Jon Favreau,8,2017-04-27
4,tt1399103,2011-05-16,2011-05-16,,Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/,movie,6.2,154,2011,"Action, Adventure, Sci-Fi",389329,2011-06-23,Michael Bay,8,2017-04-27
5,tt1210166,2011-06-18,2011-06-18,,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,"Biography, Drama, Sport",381922,2011-09-09,Bennett Miller,10,2012-06-09
6,tt1541160,2011-06-23,2011-06-23,,Flypaper,https://www.imdb.com/title/tt1541160/,movie,6.4,87,2011,"Comedy, Crime, Mystery",32009,2011-01-28,Rob Minkoff,10,2011-10-12
7,tt0810913,2011-07-12,2011-07-12,,Jack and Jill,https://www.imdb.com/title/tt0810913/,movie,3.3,91,2011,Comedy,79598,2011-11-11,Dennis Dugan,6,2017-04-27
8,tt1124035,2011-08-01,2011-08-01,,The Ides of March,https://www.imdb.com/title/tt1124035/,movie,7.1,101,2011,"Drama, Thriller",217533,2011-08-31,George Clooney,8,2017-01-17
9,tt0471042,2011-08-01,2011-08-01,,Tower Heist,https://www.imdb.com/title/tt0471042/,movie,6.2,104,2011,"Action, Comedy, Crime",136695,2011-10-24,Brett Ratner,9,2017-04-27
10,tt1093357,2011-08-06,2011-08-06,,The Darkest Hour,https://www.imdb.com/title/tt1093357/,movie,4.9,89,2011,"Action, Adventure, Horror, Sci-Fi, Thriller",58770,2011-12-22,Chris Gorak,8,2017-04-27
11,tt1570728,2011-08-06,2011-08-06,,"Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,movie,7.4,118,2011,"Comedy, Drama, Romance",484815,2011-07-19,"Glenn Ficarra, John Requa",9,2017-01-17
12,tt1637688,2011-08-07,2011-08-07,,In Time,https://www.imdb.com/title/tt1637688/,movie,6.7,109,2011,"Action, Sci-Fi, Thriller",377903,2011-10-20,Andrew Niccol,8,2017-04-27
13,tt1381505,2011-08-18,2011-08-18,,Father of Invention,https://www.imdb.com/title/tt1381505/,movie,5.8,93,2010,"Comedy, Drama",8323,2010-02-15,Trent Cooper,7,2017-04-27
14,tt1615147,2011-08-18,2011-08-18,,Margin Call,https://www.imdb.com/title/tt1615147/,movie,7.1,107,2011,"Drama, Thriller",120219,2011-01-25,J.C. Chandor,9,2012-07-04
15,tt0376136,2011-08-29,2011-08-29,,The Rum Diary,https://www.imdb.com/title/tt0376136/,movie,6.2,119,2011,"Comedy, Drama",99916,2011-10-13,Bruce Robinson,8,2017-04-27
16,tt1411664,2011-09-04,2011-09-04,,Bucky Larson: Born to Be a Star,https://www.imdb.com/title/tt1411664/,movie,3.2,97,2011,Comedy,11491,2011-05-27,Tom Brady,7,2017-04-27
17,tt1568338,2011-10-01,2011-10-01,,Man on a Ledge,https://www.imdb.com/title/tt1568338/,movie,6.6,102,2012,"Action, Crime, Thriller",146416,2012-01-26,Asger Leth,8,2017-04-27
18,tt1625346,2011-10-09,2011-10-09,,Young Adult,https://www.imdb.com/title/tt1625346/,movie,6.3,94,2011,"Comedy, Drama",81521,2011-12-09,Jason Reitman,6,2017-04-27
19,tt1596350,2011-10-21,2011-10-21,,This Means War,https://www.imdb.com/title/tt1596350/,movie,6.3,103,2012,"Action, Comedy, Romance",178443,2012-01-30,McG,7,2017-04-27
20,tt1706593,2011-10-21,2011-10-21,,Chronicle,https://www.imdb.com/title/tt1706593/,movie,7.0,89,2012,"Adventure, Drama, Sci-Fi, Thriller",242005,2012-01-28,Josh Trank,10,2013-04-01
21,tt1943873,2011-10-21,2011-10-21,,You've Been Trumped,https://www.imdb.com/title/tt1943873/,movie,7.5,79,2011,Documentary,2189,2011-05-03,Anthony Baxter,7,2017-05-01
22,tt1409024,2011-12-13,2011-12-13,,Men in Black 3,https://www.imdb.com/title/tt1409024/,movie,6.8,106,2012,"Action, Adventure, Comedy, Sci-Fi",340737,2012-05-14,Barry Sonnenfeld,9,2017-04-27
23,tt1621045,2011-12-13,2011-12-13,,Think Like a Man,https://www.imdb.com/title/tt1621045/,movie,6.5,123,2012,"Comedy, Romance",44838,2012-02-10,Tim Story,8,2017-04-27
