Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1488555,2011-05-16,2011-05-16,,The Change-Up,https://www.imdb.com/title/tt1488555/,movie,6.3,112,2011,"Comedy, Fantasy",163241,2011-08-01,David Dobkin,9,2017-04-27
2,tt1622547,2011-05-16,2011-05-16,,30 Minutes or Less,https://www.imdb.com/title/tt1622547/,movie,6.1,83,2011,"Action, Comedy, Crime",92199,2011-08-11,Ruben Fleischer,8,2017-04-27
3,tt0409847,2011-05-16,2011-05-16,,Cowboys & Aliens,https://www.imdb.com/title/tt0409847/,movie,6.0,119,2011,"Action, Sci-Fi, Thriller, Western",204398,2011-07-29,Jon Favreau,8,2017-04-27
4,tt1399103,2011-05-16,2011-05-16,,Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/,movie,6.2,154,2011,"Action, Adventure, Sci-Fi",379291,2011-06-23,Michael Bay,8,2017-04-27
5,tt1210166,2011-06-18,2011-06-18,,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,"Biography, Drama, Sport",352640,2011-09-09,Bennett Miller,10,2012-06-09
6,tt1541160,2011-06-23,2011-06-23,,Flypaper,https://www.imdb.com/title/tt1541160/,movie,6.4,87,2011,"Comedy, Crime, Mystery",31328,2011-01-28,Rob Minkoff,10,2011-10-12
7,tt0810913,2011-07-12,2011-07-12,,Jack and Jill,https://www.imdb.com/title/tt0810913/,movie,3.3,91,2011,Comedy,76344,2011-11-11,Dennis Dugan,6,2017-04-27
8,tt1124035,2011-08-01,2011-08-01,,The Ides of March,https://www.imdb.com/title/tt1124035/,movie,7.1,101,2011,"Drama, Thriller",212240,2011-08-31,George Clooney,8,2017-01-17
9,tt0471042,2011-08-01,2011-08-01,,Tower Heist,https://www.imdb.com/title/tt0471042/,movie,6.2,104,2011,"Action, Comedy, Crime",131014,2011-10-24,Brett Ratner,9,2017-04-27
10,tt1093357,2011-08-06,2011-08-06,,The Darkest Hour,https://www.imdb.com/title/tt1093357/,movie,4.9,89,2011,"Action, Adventure, Horror, Sci-Fi, Thriller",57055,2011-12-22,Chris Gorak,8,2017-04-27
11,tt1570728,2011-08-06,2011-08-06,,"Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,movie,7.4,118,2011,"Comedy, Drama, Romance",461459,2011-07-19,"Glenn Ficarra, John Requa",9,2017-01-17
12,tt1637688,2011-08-07,2011-08-07,,In Time,https://www.imdb.com/title/tt1637688/,movie,6.7,109,2011,"Action, Sci-Fi, Thriller",362710,2011-10-20,Andrew Niccol,8,2017-04-27
13,tt1381505,2011-08-18,2011-08-18,,Father of Invention,https://www.imdb.com/title/tt1381505/,movie,5.8,93,2010,"Comedy, Drama",8142,2010-02-15,Trent Cooper,7,2017-04-27
14,tt1615147,2011-08-18,2011-08-18,,Margin Call,https://www.imdb.com/title/tt1615147/,movie,7.1,107,2011,"Drama, Thriller",113632,2011-01-25,J.C. Chandor,9,2012-07-04
15,tt0376136,2011-08-29,2011-08-29,,The Rum Diary,https://www.imdb.com/title/tt0376136/,movie,6.2,119,2011,"Comedy, Drama",97670,2011-10-13,Bruce Robinson,8,2017-04-27
16,tt1411664,2011-09-04,2011-09-04,,Bucky Larson: Born to Be a Star,https://www.imdb.com/title/tt1411664/,movie,3.2,97,2011,Comedy,11176,2011-05-27,Tom Brady,7,2017-04-27
17,tt1568338,2011-10-01,2011-10-01,,Man on a Ledge,https://www.imdb.com/title/tt1568338/,movie,6.6,102,2012,"Action, Adventure, Crime, Thriller",143069,2012-01-26,Asger Leth,8,2017-04-27
